supergroup	group	species	taxid	assembly_accession	gc%	annotation_accession	rnaseq_data	long-read_experiments	long-read_reads	short-read_experiments	short-read_reads
Amoebozoa	Amoebozoa	Acanthamoeba astronyxis	65658	GCA_000826245.1	42.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba castellanii	5755	GCA_021020595.1	58.5		short-read only	0	0	169	11739581448
Amoebozoa	Amoebozoa	Acanthamoeba castellanii str. Neff	1257118	GCF_000313135.1	58.5	GCF_000313135.1	short-read only	0	0	1	238975101
Amoebozoa	Amoebozoa	Acanthamoeba comandoni	65659	GCA_002025285.2	43.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba culbertsoni	43142	GCA_000826265.1	50.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba divionensis	202919	GCA_000826405.1	42.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba griffini	29195	GCA_046056075.1	56.5		short-read only	0	0	1	184762314
Amoebozoa	Amoebozoa	Acanthamoeba healyi	65661	GCA_000826305.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba lenticulata	29196	GCA_002179805.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba lugdunensis	61605	GCA_000826425.1	59.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba mauritaniensis	196912	GCA_000826465.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba pearcei	65662	GCA_000826505.1	59.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba polyphaga	5757	GCA_001567625.1	58.0		short-read, long-read	1	7658297	78	3511389062
Amoebozoa	Amoebozoa	Acanthamoeba quina	211522	GCA_000826445.1	59.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba rhysodes	32599	GCA_000826385.1	58.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba royreba	32600	GCA_000826365.1	51.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. GP39-C1	3381675	GCA_978143355.1	58.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022a	2919605	GCA_027943295.1	57.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022b	2919604	GCA_027943245.1	58.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022c	2919603	GCA_027944975.1	60.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba terricola	196913	GCA_046055985.1	58.5		short-read only	0	0	1	187421232
Amoebozoa	Amoebozoa	Acanthamoeba triangularis	146752	GCA_902749335.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acytostelium subglobosum LB1	1410327	GCF_000787575.1	44.0	GCF_000787575.1		0	0	0	0
Amoebozoa	Amoebozoa	Balamuthia mandrillaris	66527	GCA_057986245.1	47.0	GCA_057986245.1	short-read only	0	0	65	4044628612
Amoebozoa	Amoebozoa	Cavenderia fasciculata	261658	GCF_000203815.1	34.0	GCF_000203815.1	short-read only	0	0	9	407064706
Amoebozoa	Amoebozoa	Cochliopodium minus	313997	GCA_024220525.1	26.5		short-read only	0	0	23	1137579034
Amoebozoa	Amoebozoa	Dictyostelium brefeldianum	361069	GCA_013375695.1	28.5		short-read only	0	0	8	263749366
Amoebozoa	Amoebozoa	Dictyostelium capitatum	361071	GCA_015252635.1	32.0		short-read only	0	0	8	298012086
Amoebozoa	Amoebozoa	Dictyostelium cf. discoideum	3454433	GCA_054859205.1	22.5	GCA_054859205.1		0	0	0	0
Amoebozoa	Amoebozoa	Dictyostelium citrinum	361072	GCA_054859325.1	22.5	GCA_054859325.1		0	0	0	0
