supergroup	group	species	taxid	assembly_accession	gc%	annotation_accession	rnaseq_data	long-read_experiments	long-read_reads	short-read_experiments	short-read_reads
Amoebozoa	Amoebozoa	Acanthamoeba	5754				short-read only	0	0	6	267375822
Amoebozoa	Amoebozoa	Acanthamoeba astronyxis	65658	GCA_000826245.1	42.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba castellanii	5755	GCA_021020595.1	58.5		short-read only	0	0	169	11739581448
Amoebozoa	Amoebozoa	Acanthamoeba castellanii str. Neff	1257118	GCF_000313135.1	58.5	GCF_000313135.1	short-read only	0	0	1	238975101
Amoebozoa	Amoebozoa	Acanthamoeba comandoni	65659	GCA_002025285.2	43.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba culbertsoni	43142	GCA_000826265.1	50.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba divionensis	202919	GCA_000826405.1	42.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba griffini	29195	GCA_046056075.1	56.5		short-read only	0	0	1	184762314
Amoebozoa	Amoebozoa	Acanthamoeba healyi	65661	GCA_000826305.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba lenticulata	29196	GCA_002179805.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba lugdunensis	61605	GCA_000826425.1	59.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba mauritaniensis	196912	GCA_000826465.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba pearcei	65662	GCA_000826505.1	59.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba polyphaga	5757	GCA_001567625.1	58.0		short-read, long-read	1	7658297	78	3511389062
Amoebozoa	Amoebozoa	Acanthamoeba pyriformis	1899168				short-read only	0	0	1	15406856
Amoebozoa	Amoebozoa	Acanthamoeba quina	211522	GCA_000826445.1	59.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba rhysodes	32599	GCA_000826385.1	58.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba royreba	32600	GCA_000826365.1	51.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. GP39-C1	3381675	GCA_978143355.1	58.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. KDN1	2081466				short-read only	0	0	20	504463848
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022a	2919605	GCA_027943295.1	57.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022b	2919604	GCA_027943245.1	58.0			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba sp. SK_2022c	2919603	GCA_027944975.1	60.5			0	0	0	0
Amoebozoa	Amoebozoa	Acanthamoeba terricola	196913	GCA_046055985.1	58.5		short-read only	0	0	1	187421232
Amoebozoa	Amoebozoa	Acanthamoeba triangularis	146752	GCA_902749335.1	58.5			0	0	0	0
Amoebozoa	Amoebozoa	Acramoeba dendroida	633159				short-read only	0	0	1	9231334
Amoebozoa	Amoebozoa	Acytostelium subglobosum LB1	1410327	GCF_000787575.1	44.0	GCF_000787575.1		0	0	0	0
Amoebozoa	Amoebozoa	Amoeba proteus	5775				short-read only	0	0	1	7248058
Amoebozoa	Amoebozoa	Amphizonella sp.	1972849				short-read only	0	0	1	33123494
Amoebozoa	Amoebozoa	Amphizonella sp. DLa-2019a	2507120				short-read only	0	0	1	33123494
Amoebozoa	Amoebozoa	Amphizonella sp. DLa-2019b	2507121				short-read only	0	0	1	56842800
Amoebozoa	Amoebozoa	Amphizonella sp. DLa-2019c	2507122				short-read only	0	0	1	26565834
Amoebozoa	Amoebozoa	Amphizonella sp. DLa-2019d	2507123				short-read only	0	0	1	38115934
Amoebozoa	Amoebozoa	Amphizonella sp. DLa-2019e	2507124				short-read only	0	0	1	19579048
Amoebozoa	Amoebozoa	Apostamoeba explorator	3419711				short-read only	0	0	1	41135858
Amoebozoa	Amoebozoa	Arcella intermedia	1963864				short-read only	0	0	40	625810582
Amoebozoa	Amoebozoa	Badhamia polycephala	5791				short-read only	0	0	982	4057062726
Amoebozoa	Amoebozoa	Balamuthia mandrillaris	66527	GCA_057986245.1	47.0	GCA_057986245.1	short-read only	0	0	65	4044628612
Amoebozoa	Amoebozoa	Cavenderia bifurcata	361114				short-read only	0	0	4	61916392
Amoebozoa	Amoebozoa	Cavenderia fasciculata	261658	GCF_000203815.1	34.0	GCF_000203815.1	short-read only	0	0	9	407064706
Amoebozoa	Amoebozoa	Cavenderia multistipes	361092				short-read only	0	0	4	53576256
Amoebozoa	Amoebozoa	Cavenderia parvispora	361122				short-read only	0	0	4	64533198
Amoebozoa	Amoebozoa	Cavostelium apophysatum	435410				short-read only	0	0	1	19377334
Amoebozoa	Amoebozoa	Centropyxis aculeata	2507077				short-read only	0	0	1	14625878
Amoebozoa	Amoebozoa	Centropyxis blatta	3036676				short-read only	0	0	1	30325892
Amoebozoa	Amoebozoa	Centropyxis sp.	2507076				short-read only	0	0	1	5930068
Amoebozoa	Amoebozoa	Ceratiomyxa fruticulosa	435415				short-read only	0	0	2	99940784
Amoebozoa	Amoebozoa	Ceratiomyxa porioides	648089				short-read only	0	0	5	417558698
Amoebozoa	Amoebozoa	Ceratiomyxella tahitiensis	661162				short-read only	0	0	1	8021250
Amoebozoa	Amoebozoa	Clastostelium recurvatum	668366				short-read only	0	0	1	21075470
Amoebozoa	Amoebozoa	Clydonella sp. ATCC 50884	218662				short-read only	0	0	1	17190026
Amoebozoa	Amoebozoa	Cochliopodium minus	313997	GCA_024220525.1	26.5		short-read only	0	0	23	1137579034
Amoebozoa	Amoebozoa	Cochliopodium pentatrifurcatum	1300357				short-read only	0	0	4	122110498
